-272,-244,-224,-189,-133,-9,87,113,153,171,114,75,34,-42,-134,-20,181,252,208,86
-61,-180,-290,-295,-227,-177,-55,18,14,-33,-83,-86,-97,-82,32,147,188,231,248,133
61,16,-37,116,284,203,146,211,187,280,547,650,484,328,429,373,103,-65,-218,-290
-389,-469,-461,-552,-623,-623,-681,-725,-551,-185,-30,-29,-106,-298,-416,-390,-347,-317,-233,-80
118,334,542,738,945,1287,1447,1297,1308,1274,1086,1116,1149,1080,969,694,242,-226,-580,-953
-1182,-1200,-1261,-1476,-1657,-1658,-1588,-1264,-756,-363,282,1025,1321,1373,1431,1396,1349,1237,966,739
467,215,102,-35,-239,-526,-745,-717,-650,-524,-393,-374,-262,-36,83,52,69,51,-124,-204
-196,-388,-596,-545,-269,86,355,478,558,726,878,841,687,654,720,723,682,563,374,9
-408,-684,-926,-1077,-1071,-1039,-1136,-1196,-1017,-689,-304,3,210,260,285,399,316,243,354,328
248,234,175,125,71,70,106,73,-80,-252,-254,-154,-121,-63,47,120,221,302,145,-86
-83,6,97,140,108,-54,-169,-138,-154,-104,29,54,-52,-161,-232,-106,91,264,518,579
531,542,636,726,557,396,438,536,618,653,431,120,-23,-103,-110,-71,-80,-113,-198,-288
-400,-581,-743,-791,-765,-717,-652,-595,-489,-391,-292,-145,-68,6,145,316,415,425,427,427
446,484,452,478,634,721,622,395,241,163,91,30,-11,-90,-288,-475,-553,-593,-641,-704
-644,-573,-570,-508,-378,-211,-79,11,61,133,152,73,-42,-200,-306,-259,-169,-55,-20,-86
-168,-256,-263,-167,-81,-148,-265,-270,-201,-110,-56,-37,-35,-47,12,13,-10,30,11,-29
3,97,169,188,196,87,-52,-63,78,228,217,161,66,-18,-68,-119,-142,-209,-257,-269
-226,-135,-71,-26,17,93,147,99,74,159,273,277,253,301,342,405,446,407,351,279
204,79,-71,-161,-182,-155,-93,-41,-23,6,67,51,-27,-35,-52,-128,-150,-184,-282,-286
-177,-179,-228,-97,-35,-121,-89,42,67,121,228,343,472,513,498,415,260,57,-163,-329
-474,-490,-499,-635,-755,-794,-716,-654,-573,-484,-477,-422,-310,-175,56,237,340,454,576,697
768,857,830,660,521,462,357,216,241,246,76,-108,-194,-296,-441,-471,-523,-655,-828,-854
-761,-779,-681,-426,-104,186,409,747,843,787,851,867,795,772,806,835,922,905,777,625
363,27,-285,-606,-969,-1136,-1139,-1250,-1392,-1319,-1252,-1377,-1395,-1195,-830,-341,-28,139,409,709
957,1104,1135,1117,1027,1074,1098,626,33,-469,-885,-1032,-985,-896,-913,-991,-1051,-1005,-986,-1129
-1139,-952,-747,-371,302,861,1362,1851,1987,2319,2733,2638,2419,2162,1684,1126,498,-81,-514,-1030
-1304,-1317,-1719,-2376,-2768,-2643,-2195,-1914,-1495,-677,-55,307,888,1370,1139,793,854,914,894,872
806,782,688,611,501,460,459,241,73,103,121,-24,-351,-669,-752,-627,-472,-303,-133,22
4,-133,-350,-405,-68,361,539,655,842,847,753,920,1006,694,501,463,331,192,100,22
-258,-608,-594,-686,-1090,-1431,-1496,-1277,-1051,-870,-474,-7,293,585,832,1081,1406,1476,1141,727
461,302,219,95,-89,-184,-312,-285,-75,0,49,265,483,513,657,1028,1161,945,725,711
775,576,152,-428,-972,-1276,-1479,-1521,-1295,-1415,-1759,-1587,-1255,-1081,-1062,-972,-758,-601,-418,-59
256,478,734,1036,1314,1468,1425,1350,1254,995,839,749,511,319,187,127,123,101,-38,-211
